data_abertura,prioridade_label,incidentes
2024-07-06,P3,1
2024-07-09,P3,1
2024-07-10,P3,2
2024-07-11,P3,1
2024-07-12,P3,1
2024-07-15,P3,4
2024-07-17,P3,1
2024-07-18,P3,3
2024-07-19,P3,4
2024-07-22,P3,1
2024-07-23,P3,3
2024-07-25,P3,4
2024-07-30,P3,1
2024-08-01,P3,1
2024-08-04,P3,1
2024-08-05,P3,3
2024-08-07,P3,1
2024-08-09,P3,2
2024-08-13,P3,2
2024-08-20,P3,1
2024-08-21,P3,4
2024-08-22,P3,1
2024-08-23,P3,1
2024-08-26,P3,2
2024-08-27,P3,1
2024-08-30,P3,3
2024-09-03,P3,2
2024-09-04,P3,1
2024-09-10,P3,1
2024-09-11,P3,2
2024-09-18,P3,1
2024-09-19,P3,3
2024-09-20,P3,1
2024-09-23,P3,1
2024-09-24,P3,2
2024-09-25,P3,4
2024-09-26,P3,1
2024-09-28,P3,2
2024-09-30,P3,1
2024-10-01,P3,2
2024-10-02,P3,1
2024-10-03,P3,1
2024-10-04,P3,2
2024-10-07,P3,1
2024-10-08,P3,3
2024-10-09,P3,1
2024-10-11,P3,1
2024-10-14,P3,3
2024-10-15,P3,3
2024-10-22,P3,1
2024-10-23,P3,2
2024-10-25,P3,1
2024-10-26,P3,1
2024-10-27,P3,3
2024-10-28,P3,3
2024-10-30,P3,3
2024-10-31,P3,3
2024-11-01,P3,2
2024-11-04,P3,1
2024-11-05,P3,3
2024-11-06,P3,3
2024-11-07,P3,2
2024-11-08,P3,2
2024-11-09,P3,1
2024-11-11,P3,1
2024-11-14,P3,1
2024-11-16,P3,1
2024-11-18,P3,2
2024-11-19,P3,3
2024-11-21,P3,6
2024-11-22,P3,2
2024-11-25,P3,3
2024-11-26,P3,6
2024-11-27,P3,1
2024-11-28,P3,2
2024-11-29,P3,4
2024-12-02,P3,1
2024-12-03,P3,1
2024-12-04,P3,2
2024-12-05,P3,2
2024-12-06,P3,2
2024-12-09,P3,3
2024-12-10,P3,3
2024-12-11,P3,3
2024-12-12,P3,2
2024-12-13,P3,1
2024-12-15,P3,2
2024-12-16,P3,3
2024-12-17,P3,5
2024-12-18,P3,2
2024-12-19,P3,4
2024-12-20,P3,3
2024-12-21,P3,1
2024-12-23,P3,2
2024-12-24,P3,3
2024-12-26,P3,6
2024-12-27,P3,49
2024-12-28,P3,4
2024-12-29,P2,2
2024-12-29,P3,4
2024-12-30,P3,19
2024-12-31,P2,2
2024-12-31,P3,15
2025-01-01,P2,5
2025-01-01,P3,6
2025-01-02,P2,5
2025-01-02,P3,38
2025-01-03,P2,11
2025-01-03,P3,40
2025-01-04,P2,139
2025-01-04,P3,10
2025-01-05,P2,11
2025-01-05,P3,7
2025-01-06,P2,32
2025-01-06,P3,53
2025-01-07,P2,15
2025-01-07,P3,49
2025-01-08,P2,27
2025-01-08,P3,94
2025-01-09,P2,37
2025-01-09,P3,122
2025-01-10,P2,13
2025-01-10,P3,63
2025-01-11,P2,23
2025-01-11,P3,34
2025-01-12,P2,12
2025-01-12,P3,20
2025-01-13,P2,45
2025-01-13,P3,73
2025-01-14,P2,24
2025-01-14,P3,81
2025-01-15,P2,73
2025-01-15,P3,100
2025-01-16,P2,82
2025-01-16,P3,85
2025-01-17,P2,25
2025-01-17,P3,84
2025-01-18,P2,15
2025-01-18,P3,37
2025-01-19,P2,9
2025-01-19,P3,28
2025-01-20,P2,17
2025-01-20,P3,69
2025-01-21,P2,21
2025-01-21,P3,72
2025-01-22,P2,26
2025-01-22,P3,80
2025-01-23,P2,37
2025-01-23,P3,68
2025-01-24,P2,20
2025-01-24,P3,63
2025-01-25,P2,26
2025-01-25,P3,71
2025-01-26,P2,36
2025-01-26,P3,24
2025-01-27,P2,35
2025-01-27,P3,80
2025-01-28,P2,30
2025-01-28,P3,107
2025-01-29,P2,25
2025-01-29,P3,92
2025-01-30,P2,39
2025-01-30,P3,175
2025-01-31,P2,21
2025-01-31,P3,71
2025-02-01,P2,8
2025-02-01,P3,30
2025-02-02,P2,15
2025-02-02,P3,28
2025-02-03,P2,33
2025-02-03,P3,153
2025-02-04,P2,23
2025-02-04,P3,87
2025-02-05,P2,32
2025-02-05,P3,81
2025-02-06,P2,28
2025-02-06,P3,114
2025-02-07,P2,20
2025-02-07,P3,83
2025-02-08,P2,16
2025-02-08,P3,22
2025-02-09,P2,13
2025-02-09,P3,20
2025-02-10,P2,35
2025-02-10,P3,86
2025-02-11,P2,50
2025-02-11,P3,74
2025-02-12,P2,41
2025-02-12,P3,92
2025-02-13,P2,24
2025-02-13,P3,65
2025-02-14,P2,20
2025-02-14,P3,71
2025-02-15,P2,11
2025-02-15,P3,58
2025-02-16,P2,15
2025-02-16,P3,42
2025-02-17,P2,28
2025-02-17,P3,72
2025-02-18,P2,19
2025-02-18,P3,108
2025-02-19,P2,18
2025-02-19,P3,141
2025-02-20,P2,33
2025-02-20,P3,126
2025-02-21,P2,41
2025-02-21,P3,114
2025-02-22,P2,17
2025-02-22,P3,41
2025-02-23,P2,25
2025-02-23,P3,67
2025-02-24,P2,23
2025-02-24,P3,81
2025-02-25,P2,22
2025-02-25,P3,83
2025-02-26,P2,21
2025-02-26,P3,114
2025-02-27,P2,41
2025-02-27,P3,84
2025-02-28,P2,33
2025-02-28,P3,79
2025-03-01,P2,18
2025-03-01,P3,32
2025-03-02,P2,16
2025-03-02,P3,16
2025-03-03,P2,11
2025-03-03,P3,21
2025-03-04,P2,7
2025-03-04,P3,20
2025-03-05,P2,23
2025-03-05,P3,61
2025-03-06,P2,25
2025-03-06,P3,97
2025-03-07,P2,23
2025-03-07,P3,84
2025-03-08,P2,14
2025-03-08,P3,97
2025-03-09,P2,12
2025-03-09,P3,16
2025-03-10,P2,27
2025-03-10,P3,68
2025-03-11,P2,56
2025-03-11,P3,100
2025-03-12,P2,33
2025-03-12,P3,96
2025-03-13,P2,41
2025-03-13,P3,90
2025-03-14,P2,15
2025-03-14,P3,111
2025-03-15,P2,13
2025-03-15,P3,18
2025-03-16,P2,20
2025-03-16,P3,30
2025-03-17,P2,20
2025-03-17,P3,188
2025-03-18,P2,20
2025-03-18,P3,78
2025-03-19,P2,128
2025-03-19,P3,103
2025-03-20,P2,26
2025-03-20,P3,95
2025-03-21,P2,36
2025-03-21,P3,94
2025-03-22,P2,14
2025-03-22,P3,51
2025-03-23,P2,8
2025-03-23,P3,26
2025-03-24,P2,18
2025-03-24,P3,72
2025-03-25,P2,18
2025-03-25,P3,110
2025-03-26,P2,30
2025-03-26,P3,77
2025-03-27,P2,22
2025-03-27,P3,77
2025-03-28,P2,23
2025-03-28,P3,75
2025-03-29,P2,7
2025-03-29,P3,30
2025-03-30,P2,13
2025-03-30,P3,22
2025-03-31,P2,37
2025-03-31,P3,54
2025-04-01,P2,28
2025-04-01,P3,79
2025-04-02,P2,14
2025-04-02,P3,108
2025-04-03,P2,35
2025-04-03,P3,95
2025-04-04,P2,22
2025-04-04,P3,126
2025-04-05,P2,8
2025-04-05,P3,77
2025-04-06,P2,10
2025-04-06,P3,19
2025-04-07,P2,28
2025-04-07,P3,78
2025-04-08,P2,9
2025-04-08,P3,93
2025-04-09,P2,18
2025-04-09,P3,73
2025-04-10,P2,14
2025-04-10,P3,72
2025-04-11,P2,9
2025-04-11,P3,52
2025-04-12,P2,9
2025-04-12,P3,27
2025-04-13,P2,12
2025-04-13,P3,22
2025-04-14,P2,19
2025-04-14,P3,72
2025-04-15,P2,32
2025-04-15,P3,54
2025-04-16,P2,14
2025-04-16,P3,67
2025-04-17,P2,14
2025-04-17,P3,94
2025-04-18,P2,14
2025-04-18,P3,41
2025-04-19,P2,7
2025-04-19,P3,35
2025-04-20,P2,7
2025-04-20,P3,13
2025-04-21,P2,15
2025-04-21,P3,19
2025-04-22,P2,11
2025-04-22,P3,49
2025-04-23,P2,29
2025-04-23,P3,64
2025-04-24,P2,15
2025-04-24,P3,75
2025-04-25,P2,21
2025-04-25,P3,68
2025-04-26,P2,16
2025-04-26,P3,32
2025-04-27,P2,5
2025-04-27,P3,20
2025-04-28,P2,16
2025-04-28,P3,80
2025-04-29,P2,25
2025-04-29,P3,111
2025-04-30,P2,44
2025-04-30,P3,126
2025-05-01,P2,14
2025-05-01,P3,48
2025-05-02,P2,8
2025-05-02,P3,62
2025-05-03,P2,13
2025-05-03,P3,37
2025-05-04,P2,8
2025-05-04,P3,19
2025-05-05,P2,10
2025-05-05,P3,68
2025-05-06,P2,18
2025-05-06,P3,70
2025-05-07,P2,13
2025-05-07,P3,89
2025-05-08,P2,7
2025-05-08,P3,84
2025-05-09,P2,16
2025-05-09,P3,71
2025-05-10,P2,5
2025-05-10,P3,44
2025-05-11,P2,14
2025-05-11,P3,11
2025-05-12,P2,43
2025-05-12,P3,87
2025-05-13,P2,9
2025-05-13,P3,89
2025-05-14,P2,16
2025-05-14,P3,74
2025-05-15,P2,25
2025-05-15,P3,109
2025-05-16,P2,20
2025-05-16,P3,76
2025-05-17,P2,10
2025-05-17,P3,26
2025-05-18,P2,7
2025-05-18,P3,15
2025-05-19,P2,19
2025-05-19,P3,74
2025-05-20,P2,32
2025-05-20,P3,80
2025-05-21,P2,20
2025-05-21,P3,86
2025-05-22,P2,24
2025-05-22,P3,131
2025-05-23,P2,15
2025-05-23,P3,96
2025-05-24,P2,11
2025-05-24,P3,49
2025-05-25,P2,7
2025-05-25,P3,13
2025-05-26,P2,21
2025-05-26,P3,67
2025-05-27,P2,20
2025-05-27,P3,89
2025-05-28,P2,23
2025-05-28,P3,110
2025-05-29,P2,16
2025-05-29,P3,82
2025-05-30,P2,28
2025-05-30,P3,83
2025-05-31,P2,10
2025-05-31,P3,36
2025-06-01,P2,8
2025-06-01,P3,21
2025-06-02,P2,10
2025-06-02,P3,83
2025-06-03,P2,26
2025-06-03,P3,66
2025-06-04,P2,24
2025-06-04,P3,87
2025-06-05,P2,49
2025-06-05,P3,63
2025-06-06,P2,22
2025-06-06,P3,83
2025-06-07,P2,17
2025-06-07,P3,50
2025-06-08,P2,7
2025-06-08,P3,27
2025-06-09,P2,14
2025-06-09,P3,126
2025-06-10,P2,29
2025-06-10,P3,108
2025-06-11,P2,35
2025-06-11,P3,100
2025-06-12,P2,30
2025-06-12,P3,67
2025-06-13,P2,9
2025-06-13,P3,58
2025-06-14,P2,11
2025-06-14,P3,31
2025-06-15,P2,12
2025-06-15,P3,29
2025-06-16,P2,20
2025-06-16,P3,115
2025-06-17,P2,24
2025-06-17,P3,95
2025-06-18,P2,16
2025-06-18,P3,86
2025-06-19,P2,14
2025-06-19,P3,39
2025-06-20,P2,10
2025-06-20,P3,48
2025-06-21,P2,8
2025-06-21,P3,29
2025-06-22,P2,11
2025-06-22,P3,15
2025-06-23,P2,18
2025-06-23,P3,73
2025-06-24,P2,20
2025-06-24,P3,81
2025-06-25,P2,48
2025-06-25,P3,80
2025-06-26,P2,256
2025-06-26,P3,94
2025-06-27,P2,24
2025-06-27,P3,78
2025-06-28,P2,12
2025-06-28,P3,24
2025-06-29,P2,7
2025-06-29,P3,23
2025-06-30,P2,15
2025-06-30,P3,61
2025-07-01,P2,11
2025-07-01,P3,74
2025-07-02,P2,14
2025-07-02,P3,82
2025-07-03,P2,30
2025-07-03,P3,56
2025-07-04,P2,16
2025-07-04,P3,56
2025-07-05,P2,31
2025-07-05,P3,26
2025-07-06,P2,5
2025-07-06,P3,11
2025-07-07,P2,17
2025-07-07,P3,57
2025-07-08,P2,31
2025-07-08,P3,74
2025-07-09,P2,20
2025-07-09,P3,49
2025-07-10,P2,49
2025-07-10,P3,83
2025-07-11,P2,14
2025-07-11,P3,82
2025-07-12,P2,10
2025-07-12,P3,33
2025-07-13,P2,12
2025-07-13,P3,22
2025-07-14,P2,27
2025-07-14,P3,71
2025-07-15,P2,18
2025-07-15,P3,83
2025-07-16,P2,19
2025-07-16,P3,78
2025-07-17,P2,16
2025-07-17,P3,72
2025-07-18,P2,13
2025-07-18,P3,76
2025-07-19,P2,4
2025-07-19,P3,25
2025-07-20,P2,5
2025-07-20,P3,9
2025-07-21,P2,9
2025-07-21,P3,98
2025-07-22,P2,7
2025-07-22,P3,78
2025-07-23,P2,15
2025-07-23,P3,86
2025-07-24,P2,9
2025-07-24,P3,81
2025-07-25,P2,15
2025-07-25,P3,70
2025-07-26,P2,97
2025-07-26,P3,39
2025-07-27,P2,8
2025-07-27,P3,12
2025-07-28,P2,28
2025-07-28,P3,78
2025-07-29,P2,35
2025-07-29,P3,111
2025-07-30,P2,36
2025-07-30,P3,85
2025-07-31,P2,15
2025-07-31,P3,104
2025-08-01,P2,14
2025-08-01,P3,89
2025-08-02,P2,11
2025-08-02,P3,41
2025-08-03,P2,9
2025-08-03,P3,7
2025-08-04,P2,11
2025-08-04,P3,102
2025-08-05,P2,25
2025-08-05,P3,97
2025-08-06,P2,10
2025-08-06,P3,82
2025-08-07,P2,55
2025-08-07,P3,98
2025-08-08,P2,29
2025-08-08,P3,132
2025-08-09,P2,19
2025-08-09,P3,30
2025-08-10,P2,12
2025-08-10,P3,24
2025-08-11,P2,20
2025-08-11,P3,95
2025-08-12,P2,27
2025-08-12,P3,111
2025-08-13,P2,23
2025-08-13,P3,108
2025-08-14,P2,20
2025-08-14,P3,163
2025-08-15,P2,38
2025-08-15,P3,70
2025-08-16,P2,12
2025-08-16,P3,48
2025-08-17,P2,10
2025-08-17,P3,19
2025-08-18,P2,73
2025-08-18,P3,92
2025-08-19,P2,24
2025-08-19,P3,129
2025-08-20,P2,22
2025-08-20,P3,74
2025-08-21,P2,25
2025-08-21,P3,96
2025-08-22,P2,20
2025-08-22,P3,78
2025-08-23,P2,28
2025-08-23,P3,29
2025-08-24,P2,7
2025-08-24,P3,50
2025-08-25,P2,21
2025-08-25,P3,83
2025-08-26,P2,119
2025-08-26,P3,99
2025-08-27,P2,10
2025-08-27,P3,85
2025-08-28,P2,26
2025-08-28,P3,124
2025-08-29,P2,25
2025-08-29,P3,94
2025-08-30,P2,8
2025-08-30,P3,55
2025-08-31,P2,8
2025-08-31,P3,20
2025-09-01,P2,39
2025-09-01,P3,125
2025-09-02,P2,296
2025-09-02,P3,171
2025-09-03,P2,41
2025-09-03,P3,114
2025-09-04,P2,187
2025-09-04,P3,151
2025-09-05,P2,56
2025-09-05,P3,149
2025-09-06,P2,42
2025-09-06,P3,63
2025-09-07,P2,34
2025-09-07,P3,62
2025-09-08,P2,55
2025-09-08,P3,167
2025-09-09,P2,57
2025-09-09,P3,154
2025-09-10,P2,79
2025-09-10,P3,276
2025-09-11,P2,42
2025-09-11,P3,174
2025-09-12,P2,58
2025-09-12,P3,259
2025-09-13,P2,23
2025-09-13,P3,110
2025-09-14,P2,21
2025-09-14,P3,72
2025-09-15,P2,96
2025-09-15,P3,198
2025-09-16,P2,42
2025-09-16,P3,174
2025-09-17,P2,52
2025-09-17,P3,187
2025-09-18,P2,66
2025-09-18,P3,165
2025-09-19,P2,70
2025-09-19,P3,164
2025-09-20,P2,73
2025-09-20,P3,168
2025-09-21,P2,46
2025-09-21,P3,105
2025-09-22,P2,85
2025-09-22,P3,849
2025-09-23,P2,250
2025-09-23,P3,240
2025-09-24,P2,180
2025-09-24,P3,182
2025-09-25,P2,66
2025-09-25,P3,155
2025-09-26,P2,30
2025-09-26,P3,243
2025-09-27,P2,22
2025-09-27,P3,109
2025-09-28,P2,20
2025-09-28,P3,72
2025-09-29,P2,39
2025-09-29,P3,160
2025-09-30,P2,62
2025-09-30,P3,191
2025-10-01,P2,47
2025-10-01,P3,141
2025-10-02,P2,110
2025-10-02,P3,223
2025-10-03,P2,109
2025-10-03,P3,323
2025-10-04,P2,37
2025-10-04,P3,130
2025-10-05,P2,13
2025-10-05,P3,103
2025-10-06,P2,27
2025-10-06,P3,236
2025-10-07,P2,272
2025-10-07,P3,162
2025-10-08,P2,67
2025-10-08,P3,204
2025-10-09,P2,93
2025-10-09,P3,174
2025-10-10,P2,140
2025-10-10,P3,219
2025-10-11,P2,12
2025-10-11,P3,98
2025-10-12,P2,18
2025-10-12,P3,72
2025-10-13,P2,72
2025-10-13,P3,100
2025-10-14,P2,100
2025-10-14,P3,137
2025-10-15,P2,117
2025-10-15,P3,153
2025-10-16,P2,386
2025-10-16,P3,149
2025-10-17,P2,50
2025-10-17,P3,121
2025-10-18,P2,42
2025-10-18,P3,99
2025-10-19,P2,31
2025-10-19,P3,101
2025-10-20,P2,73
2025-10-20,P3,129
2025-10-21,P2,77
2025-10-21,P3,190
2025-10-22,P2,143
2025-10-22,P3,182
2025-10-23,P2,130
2025-10-23,P3,182
2025-10-24,P2,209
2025-10-24,P3,299
2025-10-25,P2,24
2025-10-25,P3,74
2025-10-26,P2,31
2025-10-26,P3,123
2025-10-27,P2,48
2025-10-27,P3,120
2025-10-28,P2,68
2025-10-28,P3,181
2025-10-29,P2,35
2025-10-29,P3,185
2025-10-30,P2,43
2025-10-30,P3,186
2025-10-31,P2,79
2025-10-31,P3,298
2025-11-01,P2,58
2025-11-01,P3,99
2025-11-02,P2,44
2025-11-02,P3,95
2025-11-03,P2,84
2025-11-03,P3,119
2025-11-04,P2,69
2025-11-04,P3,133
2025-11-05,P2,684
2025-11-05,P3,225
2025-11-06,P2,58
2025-11-06,P3,140
2025-11-07,P2,93
2025-11-07,P3,165
2025-11-08,P2,50
2025-11-08,P3,128
2025-11-09,P2,35
2025-11-09,P3,69
2025-11-10,P2,64
2025-11-10,P3,209
2025-11-11,P2,64
2025-11-11,P3,131
2025-11-12,P2,107
2025-11-12,P3,206
2025-11-13,P2,67
2025-11-13,P3,182
2025-11-14,P2,58
2025-11-14,P3,105
2025-11-15,P2,47
2025-11-15,P3,71
2025-11-16,P2,23
2025-11-16,P3,69
2025-11-17,P2,138
2025-11-17,P3,104
2025-11-18,P2,89
2025-11-18,P3,111
2025-11-19,P2,52
2025-11-19,P3,87
2025-11-20,P2,243
2025-11-20,P3,56
2025-11-21,P2,246
2025-11-21,P3,155
2025-11-22,P2,148
2025-11-22,P3,212
2025-11-23,P2,55
2025-11-23,P3,193
2025-11-24,P2,112
2025-11-24,P3,269
2025-11-25,P2,48
2025-11-25,P3,203
2025-11-26,P2,85
2025-11-26,P3,282
2025-11-27,P2,56
2025-11-27,P3,188
2025-11-28,P2,62
2025-11-28,P3,237
2025-11-29,P2,39
2025-11-29,P3,124
2025-11-30,P2,91
2025-11-30,P3,100
2025-12-01,P2,198
2025-12-01,P3,267
2025-12-02,P2,67
2025-12-02,P3,220
2025-12-03,P2,70
2025-12-03,P3,206
2025-12-04,P2,45
2025-12-04,P3,188
2025-12-05,P2,47
2025-12-05,P3,252
2025-12-06,P2,22
2025-12-06,P3,130
2025-12-07,P2,54
2025-12-07,P3,111
2025-12-08,P2,74
2025-12-08,P3,170
2025-12-09,P2,78
2025-12-09,P3,223
2025-12-10,P2,73
2025-12-10,P3,178
2025-12-11,P2,46
2025-12-11,P3,116
2025-12-12,P2,45
2025-12-12,P3,141
2025-12-13,P2,72
2025-12-13,P3,193
2025-12-14,P2,54
2025-12-14,P3,173
2025-12-15,P2,175
2025-12-15,P3,278
2025-12-16,P2,54
2025-12-16,P3,356
2025-12-17,P2,46
2025-12-17,P3,243
2025-12-18,P2,101
2025-12-18,P3,300
2025-12-19,P2,34
2025-12-19,P3,358
2025-12-20,P2,64
2025-12-20,P3,339
2025-12-21,P2,32
2025-12-21,P3,434
2025-12-22,P2,181
2025-12-22,P3,624
2025-12-23,P2,83
2025-12-23,P3,565
2025-12-24,P2,35
2025-12-24,P3,516
2025-12-25,P2,20
2025-12-25,P3,379
2025-12-26,P2,34
2025-12-26,P3,420
2025-12-27,P2,53
2025-12-27,P3,502
2025-12-28,P2,46
2025-12-28,P3,391
2025-12-29,P2,57
2025-12-29,P3,515
2025-12-30,P2,29
2025-12-30,P3,468
2025-12-31,P2,15
2025-12-31,P3,372
